Date,Open,High,Low,Close,Volume
2025-08-05,3.98,3.98,3.54,3.55,311601.0
2025-08-06,3.54,3.595,3.435,3.5,271711.0
2025-08-07,3.45,3.49,3.28,3.31,254598.0
2025-08-08,3.34,3.365,3.25,3.3,278449.0
2025-08-11,3.3,3.4198,3.115,3.13,495375.0
2025-08-12,3.12,3.32,3.06,3.29,394748.0
2025-08-13,3.32,3.32,3.18,3.2,179893.0
2025-08-14,3.18,3.18,3.045,3.14,242478.0
2025-08-15,3.28,3.31,3.12,3.19,429967.0
2025-08-18,3.12,3.25,3.12,3.15,287142.0
2025-08-19,3.15,3.36,3.0935,3.14,283311.0
2025-08-20,3.14,3.1401,2.96,3.04,253445.0
2025-08-21,3.0,3.0599,2.98,3.04,139748.0
2025-08-22,3.06,3.16,3.0,3.11,210814.0
2025-08-25,3.15,3.15,3.0,3.02,171899.0
2025-08-26,3.0,3.21,3.0,3.2,321780.0
2025-08-27,3.22,3.2404,3.01,3.01,216721.0
2025-08-28,3.05,3.12,3.04,3.08,173877.0
2025-08-29,3.09,3.09,2.8614,2.94,232478.0
2025-09-02,2.87,2.99,2.87,2.93,139018.0
2025-09-03,2.94,2.98,2.845,2.91,156479.0
2025-09-04,2.91,2.93,2.82,2.93,73995.0
2025-09-05,2.97,3.0,2.8602,2.93,65492.0
2025-09-08,2.92,2.96,2.89,2.94,134190.0
2025-09-09,2.93,3.06,2.92,3.05,105371.0
2025-09-10,3.1,3.11,2.97,3.01,155424.0
2025-09-11,3.01,3.325,3.01,3.32,146387.0
2025-09-12,3.33,3.39,3.2357,3.37,124450.0
2025-09-15,3.38,3.47,3.38,3.42,152352.0
2025-09-16,3.43,3.4699,3.2328,3.39,81043.0
2025-09-17,3.4,3.48,3.32,3.41,143298.0
2025-09-18,3.45,3.69,3.45,3.68,168734.0
2025-09-19,3.74,3.75,3.59,3.66,254999.0
2025-09-22,3.67,3.855,3.65,3.82,171142.0
2025-09-23,3.87,3.99,3.73,3.96,278087.0
2025-09-24,3.92,4.13,3.92,4.01,170255.0
2025-09-25,3.96,3.96,3.7401,3.81,205943.0
2025-09-26,3.82,3.925,3.7777,3.84,65294.0
2025-09-29,3.85,3.9151,3.5704,3.72,237011.0
2025-09-30,3.72,3.7458,3.59,3.68,85368.0
2025-10-01,3.75,4.05,3.695,4.03,160605.0
2025-10-02,4.1,4.3107,4.01,4.17,219884.0
2025-10-03,4.19,4.97,4.05,4.91,806051.0
2025-10-06,5.0,5.15,4.71,4.82,583990.0
2025-10-07,4.87,4.9552,4.57,4.62,315480.0
2025-10-08,4.69,5.05,4.54,5.01,392044.0
2025-10-09,5.01,5.01,4.71,4.91,192295.0
2025-10-10,4.91,5.0345,4.54,4.56,169326.0
2025-10-13,4.73,4.83,4.56,4.83,131210.0
2025-10-14,4.62,4.8,4.51,4.65,208164.0
2025-10-15,4.67,5.36,4.6,5.31,608815.0
2025-10-16,5.41,5.4996,4.809,4.95,453523.0
2025-10-17,4.82,5.1,4.8046,5.08,421311.0
2025-10-20,7.5,18.15,7.34,12.97,115841099.0
2025-10-21,15.68,17.14,10.59,10.86,61718933.0
2025-10-22,10.19,13.7,10.112,12.89,27602290.0
2025-10-23,12.125,12.125,10.62,11.42,9050173.0
2025-10-24,10.785,11.68,9.15,9.23,7804963.0
2025-10-27,10.0,13.1299,9.9,12.05,21303514.0
2025-10-28,11.65,12.2,11.01,11.43,6121389.0
2025-10-29,11.755,13.3,10.7,11.6,9443491.0
2025-10-30,11.37,12.63,10.4,11.06,8078416.0
2025-10-31,10.0,10.5288,8.96,9.09,6022111.0
2025-11-03,8.95,9.73,8.28,9.7,3482705.0
2025-11-04,9.1,9.39,8.73,8.76,2265678.0
2025-11-05,8.8,9.02,8.03,8.98,1692580.0
2025-11-06,9.01,9.15,8.08,8.385,1608867.0
2025-11-07,8.06,8.63,7.9,8.63,1269972.0
2025-11-10,8.82,8.84,8.0411,8.32,1263034.0
2025-11-11,8.35,8.35,7.84,7.99,1115160.0
2025-11-12,8.075,8.45,7.86,8.36,1177692.0
2025-11-13,8.24,8.24,7.36,7.51,1511105.0
2025-11-14,7.0,7.6,6.72,7.53,1463768.0
2025-11-17,7.33,7.53,7.19,7.4,646948.0
2025-11-18,7.26,7.75,7.25,7.34,766545.0
2025-11-19,7.41,7.65,7.04,7.07,731438.0
2025-11-20,7.35,7.77,6.855,6.87,887794.0
2025-11-21,6.75,6.945,6.04,6.11,1758958.0
2025-11-24,6.11,6.15,5.772,6.07,1199108.0
2025-11-25,6.04,6.1025,5.625,6.0,1154899.0
2025-11-26,6.06,6.3,5.96,6.29,895534.0
2025-11-28,6.31,6.675,6.2704,6.36,497640.0
2025-12-01,6.21,6.33,6.06,6.07,568591.0
2025-12-02,6.12,6.43,6.12,6.12,592014.0
2025-12-03,6.13,6.73,5.96,6.68,651203.0
2025-12-04,6.61,7.16,6.515,7.15,1098084.0
2025-12-05,7.22,7.4,6.66,6.75,828360.0
2025-12-08,6.88,7.04,6.69,6.86,555276.0
2025-12-09,6.92,7.25,6.7311,7.14,618940.0
